MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
1;1;Valserhône;5-9 Rue des Papetiers Bellegarde sur Valserine;;01033;01200;VALSERHÔNE;;;franceservices@ccpb01.fr;04 50 56 87 49;Collectivité;CC du Pays Bellegardien;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
2;1;Saint-Trivier-de-Courtes;22 Esplanade de La Poste;;01388;01560;SAINT-TRIVIER-DE-COURTES;46.45916;5.83785;msap.saint-trivier-de-courtes@laposte.fr;04 74 30 71 85;La Poste;La Poste;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;-;;Espace labellisé
3;2;Thiérache Sambre et Oise;6 rue André Godin;;02361;02120;GUISE;49.90147;3.626688;;03.23.61.12.17;Collectivité;Communauté de communes Thiérache Sambre et Oise;9:30 - 12:15 / 13:45 - 16:30;9:30 - 12:15 / 13:45 - 16:30;1er mercredi du mois : 9:30 - 12:15 / 13:45 - 16:30 // 3ème mercredi du mois : 9:30 - 12:15 ;9:30 - 12:15 / 13:45 - 16:30;9:30 - 12:15 / 13:45 - 16:30;-;Oui;Espace labellisé
4;2;Nouvion-en-Thiérache;25 rue Théodore Blot;;02558;02170;LE NOUVION EN THIERACHE;50.01689;3.787362;ccas-lenouvion@wanadoo.fr;03 23 97 53 90;Collectivité;Commune du Nouvion-en-Thiérache;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;-;;Espace labellisé
5;2;Ribemont;12 place du Château;;02648;02240;RIBEMONT;49.79704;3.457978;france-services@ccvo.fr;03 23 62 15 22;Collectivité;Communauté de communes du Val de l’Oise;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:00 - 12:30;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
6;2;Vailly-sur-Aisne;10 bis place Edouard Hériot;;02758;02370;VAILLY SUR AISNE;49.418;3.516475;vailly.franceservices@orange.fr;;Collectivité;Commune de Vailly-sur-Aisne;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
7;2;Saint-Erme;2 bis route de Montaigu;;02676;02820;ST ERME;49.52833;3.855111;faitout@cc-champagnepicarde.fr;03 23 22 31 90;Collectivité;Communauté de communes de la Champagne Picarde;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:00;-;;Espace labellisé
8;3;La Bourbon’NET;1 Avenue Victor Hugo;;03190;03000;MOULINS;46.56853;3.333844;bourbonnet@allier.fr;07 85 12 41 46;Collectivité;Conseil départemental de l’Allier;9:30 - 14:30;9:30 - 14:30;9:30 - 14:30;9:30 - 14:30;9:30 - 14:30;-;Oui;Espace labellisé
11;3;Le Montet;1 Place du Huit Mai;;03183;03240;LE MONTET;46.49034;3.056601;contact@ccbb.fr ;04 70 47 37 76;Collectivité;Communauté de communes du bocage bourbonnais;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;1er samedi du mois : 9:00 - 12:00;;Espace labellisé
12;3;Le Mayet de Montagne;26 rue Roger Dégoulange;;03165;03250;LE MAYET DE MONTAGNE ;46.07184;3.664004;msap@vichy-communaute.fr;04 70 59 36 67;Collectivité;Vichy Communauté;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
13;3;Dompierre sur Besbre;Place des Trois Platanes;Espace Boudeville;03102;03290;DOMPIERRE SUR BESBRE;46.51832;3.684063;;;Collectivité;Communauté de communes entr’allier besbre et loire;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;;Espace labellisé
14;3;Huriel;6 rue des Calaubys;;03128;03380;HURIEL;46.37311;2.475106;maison.services.huriel@orange.fr ;04 70 09 33 25;Collectivité;Communauté de communes du pays d’Huriel;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:30 - 17:00;-;;Espace labellisé
15;3;Montmarault;7 Rue de la République;;03186;03390;MONTMARAULT;46.31892;2.953847;msapmontmarault@adem03.fr ;04 70 02 60 11;Association;Association développement économique bassin emploi (ADEM);8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30;-;;Espace labellisé
