MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE
1;1;Valserhône;9 Rue des Papetiers;;01033;01200;VALSERHÔNE;46,105747;5,825644;;;Collectivité;CC du Pays Bellegardien;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;
2;1;Saint-Trivier-de-Courtes;22 Esplanade de La Poste;;01388;01560;SAINT-TRIVIER-DE-COURTES;46,45916;5,83785;msap.saint-trivier-de-courtes@laposte.fr;4 74 30 71 85;La Poste;La Poste;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;-;
3;2;Thiérache Sambre et Oise;6 rue André Godin;;02361;02120;GUISE;49,901471;3,626688;;;Collectivité;Communauté de communes Thiérache Sambre et Oise;9:30 - 12:15 / 13:45 - 16:30;9:30 - 12:15 / 13:45 - 16:30;-;9:30 - 12:15 / 13:45 - 16:30;9:30 - 12:15 / 13:45 - 16:30;-;Oui
4;2;Nouvion-en-Thiérache;25 rue Théodore Blot;;02558;02170;LE NOUVION EN THIERACHE;;;ccas-lenouvion@wanadoo.fr;3 23 97 53 90;Collectivité;Commune du Nouvion-en-Thiérache;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;8:45 - 12:00 / 13:30 - 18:00;-;
5;2;Ribemont;12 place du Château;;02648;02240;RIBEMONT;49,797043;3,457978;;;Collectivité;Communauté de communes du Val de l’Oise;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:00 - 12:30;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
6;2;Vailly-sur-Aisne;10 bis place Edouard Hériot;;02758;02370;VAILLY SUR AISNE;49,418;3,516475;vailly.communication@orange.fr;;Collectivité;Commune de Vailly-sur-Aisne;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
7;2;Saint-Erme;2 bis route de Montaigu;;02676;02820;ST ERME;49,528332;3,855111;info1@cc-champagnepicarde.fr;;Collectivité;Communauté de communes de la Champagne Picarde;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:30;9:00 - 12:00 / 13:15 - 17:00;-;
8;3;La Bourbon’NET;1 Avenue Victor Hugo;;03190;03000;MOULINS;46,568527;3,333844;;;Collectivité;Conseil départemental de l’Allier;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Oui
11;3;Le Montet;1 Place du Huit Mai;;03183;03240;LE MONTET;46,49034;3,056601;contact@ccbb.fr ;;Collectivité;Communauté de communes du bocage bourbonnais;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;1er samedi du mois : 9:00 - 12:00;
12;3;Le Mayet de Montagne;26 rue Roger Dégoulange;;03165;03250;LE MAYET DE MONTAGNE ;;;msap@vichy-communaute.fr;04 70 59 36 67 ;Collectivité;Vichy Communauté;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
13;3;Dompierre sur Besbre;Place des Trois Platanes;Espace Boudeville;03102;03290;DOMPIERRE SUR BESBRE;46,518318;3,684063;;;Collectivité;Communauté de communes entr’allier besbre et loire;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;
14;3;Huriel;6 rue des Calaubys;;03128;03380;HURIEL;46,373106;2,475106;maison.services.huriel@orange.fr ;1 81 51 89 20;Collectivité;Communauté de communes du pays d’Huriel;9:00 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 14:00 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 13:30 - 17:30;-;
15;3;Montmarault;7 Rue de la République;;03186;03390;MONTMARAULT;46,318921;2,953847;msapmontmarault@adem03.fr ;;Association;Association développement économique bassin emploi (ADEM);8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30 / 13:30 - 17:15;8:30 - 12:30;-;
16;3;Marcillat en Combrailles;Place Pierre-Bitard;;03161;03420;MARCILLAT EN COMBRAILLE;46,16708;2,63181;comcom@mairie-marcillatcombraille.fr;;Collectivité;Commune de Marcillat en combrailles;-;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;
17;3;Ebreuil;21 allée du Chemin-de-Fer;Communauté de communes Saint-Pourçain Sioule Limagne;03107;03450;EBREUIL;46,117487;3,88534;msap-ebreuil@ccspsl.fr ;;Collectivité;communauté de communes Saint-pourçain sioule limagne;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;
